CODE,DESTINATION,CONNEC COSTO,GRACE TIME,COST /MIN,INITIAL INCR,INCREMENT,STRIP,PRIORITY,PREPEND,,,,
525549940,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549950,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549960,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549970,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549980,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525549990,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550060,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550070,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550080,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550090,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550210,MEXICO MPP  AT&T TLALNEPANTLA TLALNEPANTLA DE BAZ  MEX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550450,MEXICO MPP  MOVISTAR CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0006,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550650,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550660,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550700,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550705,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550710,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550715,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
525550720,MEXICO MPP  TELCEL CUAUHTEMOC CUAUHTEMOC  CDMX,0,0,0.0027,60,60,0,,,AJTEL-TELECOM ,16/05/2022 16:12,16/05/2022 16:12,Active
